O(rder),S,N,P,R,DDX,DDY,DDZ,DDX5,DDY5,DDX10,DDY10,LX,D5,D10,TDS,TDB,TDN(et),DB,DS,DN(et)
序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
1,000509,华塑控股,6.49,10.00,5.030,4.243,64.22,3.837,3.030,1.988,-0.981,1,2,2,41.56,6.45,35.10,20.93,19.71,1.22
2,002564,张化机,10.24,9.99,3.237,2.458,57.82,3.627,2.505,3.353,1.769,5,5,6,56.51,32.17,24.34,23.58,29.53,-5.95
3,002691,石中装备,13.56,1.50,3.000,0.870,23.73,7.917,4.373,3.937,-2.700,3,4,5,27.30,4.22,23.08,11.17,13.01,-1.85
4,600255,鑫科材料,13.57,9.97,2.892,2.471,41.43,2.512,2.318,-2.511,-5.404,1,2,3,37.07,13.49,23.58,25.43,27.97,-2.54
5,002668,奥马电器,22.04,7.78,2.700,3.228,26.57,1.198,1.855,1.374,0.697,2,2,4,14.80,11.06,3.75,40.08,31.86,8.22
6,600711,盛屯矿业,18.46,10.01,2.404,2.632,21.37,2.906,3.450,1.003,1.107,1,3,5,25.97,14.07,11.90,30.41,32.21,-1.80
7,002331,皖通科技,14.23,9.97,2.267,1.297,83.01,0.988,1.261,0.960,0.660,1,2,5,52.76,8.63,44.13,25.76,26.78,-1.03
8,600599,熊猫烟花,23.42,10.00,2.135,2.336,15.82,3.634,2.081,7.803,1.056,1,3,7,19.72,9.76,9.96,30.60,32.42,-1.81
9,300061,康耐特,13.28,5.31,2.114,2.357,26.98,0.740,-0.048,0.592,-2.345,2,3,5,1.55,1.95,-0.39,34.92,15.94,18.97
10,601908,京运通,10.01,9.88,1.982,0.149,11.63,3.526,1.759,2.814,0.742,3,4,6,16.25,4.54,11.71,27.49,28.02,-0.53
11,600751,天津海运,8.22,10.04,1.977,0.778,11.74,6.277,3.434,5.556,3.205,2,3,5,24.79,8.75,16.04,25.90,33.10,-7.20
12,000609,绵世股份,11.67,9.99,1.967,1.281,29.92,1.443,0.889,0.429,-1.111,1,2,3,41.75,23.56,18.19,27.89,31.99,-4.10
13,603123,翠微股份,10.28,1.48,1.956,0.494,14.61,3.039,1.249,2.268,-0.285,3,3,4,15.26,1.14,14.11,14.30,14.97,-0.67
14,000677,恒天海龙,3.72,10.06,1.900,1.756,78.87,2.489,2.690,2.472,0.845,2,4,7,38.82,5.13,33.69,29.15,25.94,3.21
15,600767,运盛实业,9.74,0.83,1.860,1.250,29.56,2.129,2.391,9.431,7.990,2,2,7,20.69,7.97,12.72,26.89,18.55,8.34
16,600502,安徽水利,8.49,3.54,1.823,1.717,24.78,3.575,3.979,3.108,3.349,2,3,4,15.61,4.53,11.07,36.51,33.93,2.58
17,002171,精诚铜业,11.23,9.99,1.520,1.675,37.27,2.270,3.043,2.222,2.490,5,5,7,24.84,7.70,17.14,30.90,29.52,1.38
18,002052,同洲电子,10.62,7.93,1.514,1.921,21.65,2.015,3.356,0.372,0.845,2,4,5,11.57,8.48,3.09,34.14,25.92,8.21
19,000821,京山轻机,9.21,8.10,1.428,1.659,27.59,1.794,1.397,0.203,-1.222,1,3,4,24.61,10.75,13.86,29.01,29.81,-0.81
20,002417,三元达,10.29,10.05,1.389,1.427,32.42,0.061,0.563,1.323,2.333,1,1,5,27.07,16.99,10.08,27.69,20.95,6.74
21,000915,山大华特,27.00,4.65,1.368,1.694,39.71,1.307,1.594,0.168,-0.321,2,3,4,14.06,2.81,11.26,36.93,28.01,8.92
22,300280,南通锻压,15.22,2.42,1.301,0.953,14.31,1.547,0.480,3.351,-2.552,2,3,7,6.24,3.37,2.87,20.61,11.55,9.06
23,002727,一心堂,45.93,3.73,1.287,2.163,15.37,-0.322,-0.051,5.678,5.259,1,3,6,9.20,5.49,3.71,33.42,29.89,3.53
24,600406,国电南瑞,16.68,10.03,1.286,1.201,54.40,1.939,1.892,1.426,1.193,8,5,8,46.77,22.12,24.65,26.57,31.54,-4.97
25,300126,锐奇股份,10.89,0.93,1.277,0.800,18.73,4.276,2.037,4.652,2.038,2,3,5,6.50,5.93,0.57,40.59,28.15,12.44
26,002114,罗平锌电,19.44,4.97,1.209,1.533,6.54,-1.029,-1.027,-3.659,-9.597,1,1,2,6.66,2.87,3.79,21.87,21.18,0.69
27,601515,东风股份,11.73,5.68,1.185,1.938,14.81,0.418,1.531,-3.216,-2.907,1,3,3,5.83,1.92,3.91,23.79,18.18,5.61
28,300216,千山药机,32.73,10.02,1.152,1.119,25.41,3.000,2.572,4.792,4.359,5,5,7,24.44,11.72,12.72,28.36,27.23,1.13
29,000400,许继电气,22.13,3.90,1.150,1.121,25.71,1.234,1.024,0.175,-0.830,1,3,4,21.32,10.58,10.74,32.79,30.12,2.67
30,002666,德联集团,14.37,0.49,1.142,-0.319,14.56,0.813,-1.318,1.724,-0.671,1,2,4,18.78,1.08,17.69,26.89,27.06,-0.17
31,002629,仁智油服,11.16,2.86,1.141,1.459,12.43,-0.402,-0.372,-2.847,-6.325,1,1,3,5.19,3.21,1.99,28.09,22.03,6.06
32,300033,同花顺,25.98,5.48,1.131,1.049,25.92,-0.283,-0.977,-2.529,-4.431,1,2,4,17.01,3.47,13.55,29.40,26.87,2.53
33,002176,江特电机,16.40,9.48,1.102,1.160,43.40,1.401,1.631,1.044,1.657,3,3,6,21.10,6.99,14.11,36.72,29.97,6.75
34,000078,海王生物,8.74,2.46,1.086,1.624,41.89,0.778,1.680,0.226,0.128,1,2,4,12.89,1.21,11.68,28.21,15.86,12.35
35,300308,中际装备,15.63,1.82,1.074,2.014,16.67,-0.611,2.687,-2.273,-1.483,3,3,4,2.00,2.10,-0.10,29.65,19.81,9.84
36,600114,东睦股份,12.91,3.86,1.042,1.406,23.56,0.384,1.121,-1.038,-0.718,1,2,2,6.86,0.97,5.89,30.76,22.14,8.62
37,002652,扬子新材,13.21,1.30,1.028,0.889,21.07,0.676,1.397,0.424,-1.418,2,2,3,8.70,4.84,3.86,31.12,20.28,10.85
38,002389,南洋科技,9.02,2.27,1.028,0.900,16.25,0.163,-0.577,-0.296,-2.000,2,2,4,7.16,1.01,6.15,26.42,20.41,6.01
39,000630,铜陵有色,11.50,8.49,1.023,1.231,45.71,1.275,1.736,1.021,1.215,5,5,6,26.93,9.13,17.80,29.35,26.02,3.33
40,002369,卓翼科技,11.31,3.01,1.016,1.161,11.37,1.638,1.849,0.002,-1.279,3,3,5,9.29,5.26,4.03,26.81,23.51,3.29
